Curs,Tipus d'estudi,Tipus d'universitat,Universitat,Tipus de centre,Nacionalitat,Sexe,Comarca del centre,Nou accés,Matrícula,Matrícula ETC,Titulats
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,DONA,Barcelonès,8,40,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,DONA,Tarragonès,0,*,na,0
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,DONA,Vallès Occidental,322,1598,na,240
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,HOME,Barcelonès,*,12,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Espayolas,HOME,Vallès Occidental,281,1297,na,173
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,DONA,Barcelonès,9,36,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,DONA,Tarragonès,*,5,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,DONA,Vallès Occidental,223,944,na,128
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,HOME,Barcelonès,*,10,na,*
2023,doctorat,PÚBLICA,UAB,Integrat,Estrangers,HOME,Vallès Occidental,217,816,na,98
2023,doctorat,PÚBLICA,UB,Adscrit,Espayolas,DONA,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UB,Adscrit,Espayolas,HOME,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UB,Adscrit,Estrangers,DONA,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,DONA,Barcelonès,437,2052,na,269
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,DONA,Vallès Occidental,*,14,na,0
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,HOME,Barcelonès,324,1537,na,233
2023,doctorat,PÚBLICA,UB,Integrat,Espayolas,HOME,Vallès Occidental,*,9,na,*
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,DONA,Barcelonès,226,1056,na,138
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,DONA,Vallès Occidental,*,8,na,*
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,HOME,Barcelonès,192,808,na,95
2023,doctorat,PÚBLICA,UB,Integrat,Estrangers,HOME,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,DONA,Barcelonès,*,13,na,*
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,DONA,Gironès,62,305,na,31
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,DONA,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,HOME,Barcelonès,*,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,HOME,Gironès,58,276,na,50
2023,doctorat,PÚBLICA,UdG,Integrat,Espayolas,HOME,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,DONA,Barcelonès,*,11,na,*
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,DONA,Gironès,35,151,na,16
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,HOME,Barcelonès,0,5,na,0
2023,doctorat,PÚBLICA,UdG,Integrat,Estrangers,HOME,Gironès,41,154,na,21
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Osona,9,31,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Segrià,60,293,na,49
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Tarragonès,*,*,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,DONA,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Osona,*,9,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Segrià,33,199,na,36
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Tarragonès,*,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Espayolas,HOME,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Barcelonès,0,*,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Osona,0,*,na,*
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Segrià,26,108,na,15
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Tarragonès,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,DONA,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Barcelonès,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Osona,0,*,na,0
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Segrià,23,144,na,16
2023,doctorat,PÚBLICA,UdL,Integrat,Estrangers,HOME,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Bages,*,8,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Baix Llobregat,0,*,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Barcelonès,65,264,na,39
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,DONA,Vallès Occidental,5,24,na,6
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,HOME,Bages,5,13,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,HOME,Baix Llobregat,0,*,na,0
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,HOME,Barcelonès,134,672,na,97
2023,doctorat,PÚBLICA,UPC,Integrat,Espayolas,HOME,Vallès Occidental,9,32,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,DONA,Bages,*,11,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,DONA,Baix Llobregat,*,7,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,DONA,Barcelonès,91,359,na,48
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,DONA,Vallès Occidental,*,7,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,HOME,Bages,5,10,na,0
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,HOME,Baix Llobregat,*,9,na,*
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,HOME,Barcelonès,197,769,na,111
2023,doctorat,PÚBLICA,UPC,Integrat,Estrangers,HOME,Vallès Occidental,*,11,na,*
2023,doctorat,PÚBLICA,UPF,Integrat,Espayolas,DONA,Barcelonès,78,320,na,45
2023,doctorat,PÚBLICA,UPF,Integrat,Espayolas,HOME,Barcelonès,81,331,na,55
2023,doctorat,PÚBLICA,UPF,Integrat,Estrangers,DONA,Barcelonès,90,390,na,63
2023,doctorat,PÚBLICA,UPF,Integrat,Estrangers,HOME,Barcelonès,82,352,na,49
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,DONA,Baix Camp,22,101,na,11
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,DONA,Barcelonès,11,42,na,7
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,DONA,Tarragonès,61,277,na,38
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,DONA,Vallès Occidental,*,*,na,0
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,HOME,Baix Camp,10,54,na,6
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,HOME,Barcelonès,*,11,na,*
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,HOME,Tarragonès,48,290,na,47
2023,doctorat,PÚBLICA,URV,Integrat,Espayolas,HOME,Vallès Occidental,0,*,na,0
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,DONA,Baix Camp,12,38,na,*
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,DONA,Barcelonès,8,27,na,*
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,DONA,Tarragonès,66,265,na,27
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,HOME,Baix Camp,11,22,na,*
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,HOME,Barcelonès,0,10,na,*
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,HOME,Tarragonès,69,294,na,43
2023,doctorat,PÚBLICA,URV,Integrat,Estrangers,HOME,Vallès Occidental,0,*,na,0
2023,grau,PÚBLICA,UAB,Adscrit,Espayolas,DONA,Barcelonès,236,898,835.5,186
2023,grau,PÚBLICA,UAB,Adscrit,Espayolas,DONA,Vallès Occidental,530,1973,1887.7,426
2023,grau,PÚBLICA,UAB,Adscrit,Espayolas,HOME,Barcelonès,255,859,740.6,131
2023,grau,PÚBLICA,UAB,Adscrit,Espayolas,HOME,Vallès Occidental,279,1039,977.5,217
2023,grau,PÚBLICA,UAB,Adscrit,Estrangers,DONA,Barcelonès,16,61,56,5
2023,grau,PÚBLICA,UAB,Adscrit,Estrangers,DONA,Vallès Occidental,81,260,261.3,50
2023,grau,PÚBLICA,UAB,Adscrit,Estrangers,HOME,Barcelonès,14,39,35.4,*
2023,grau,PÚBLICA,UAB,Adscrit,Estrangers,HOME,Vallès Occidental,56,193,198.2,11
2023,grau,PÚBLICA,UAB,Integrat,Espayolas,DONA,Vallès Occidental,3911,15978,15083.4,3109
2023,grau,PÚBLICA,UAB,Integrat,Espayolas,HOME,Vallès Occidental,2498,10194,9596.5,1834
2023,grau,PÚBLICA,UAB,Integrat,Estrangers,DONA,Vallès Occidental,252,882,842.8,147
2023,grau,PÚBLICA,UAB,Integrat,Estrangers,HOME,Vallès Occidental,151,516,491.1,73
2023,grau,PÚBLICA,UB,Adscrit,Espayolas,DONA,Barcelonès,452,1668,1604.1,347
2023,grau,PÚBLICA,UB,Adscrit,Espayolas,DONA,Vallès Occidental,52,164,159.7,51
2023,grau,PÚBLICA,UB,Adscrit,Espayolas,DONA,Vallès Oriental,19,67,57.9,16
2023,grau,PÚBLICA,UB,Adscrit,Espayolas,HOME,Barcelonès,238,898,826,178
2023,grau,PÚBLICA,UB,Adscrit,Espayolas,HOME,Vallès Occidental,46,142,140.1,49
2023,grau,PÚBLICA,UB,Adscrit,Espayolas,HOME,Vallès Oriental,45,230,196.8,46
2023,grau,PÚBLICA,UB,Adscrit,Estrangers,DONA,Barcelonès,60,146,134.5,25
2023,grau,PÚBLICA,UB,Adscrit,Estrangers,DONA,Vallès Occidental,*,8,8,*
2023,grau,PÚBLICA,UB,Adscrit,Estrangers,DONA,Vallès Oriental,0,*,1.4,*
2023,grau,PÚBLICA,UB,Adscrit,Estrangers,HOME,Barcelonès,41,95,89.7,8
2023,grau,PÚBLICA,UB,Adscrit,Estrangers,HOME,Vallès Occidental,5,16,14.4,*
2023,grau,PÚBLICA,UB,Adscrit,Estrangers,HOME,Vallès Oriental,*,*,3.3,*
2023,grau,PÚBLICA,UB,Integrat,Espayolas,DONA,Barcelonès,5740,23663,21914.1,4461
2023,grau,PÚBLICA,UB,Integrat,Espayolas,HOME,Barcelonès,2946,12624,11445.9,2235
2023,grau,PÚBLICA,UB,Integrat,Estrangers,DONA,Barcelonès,442,1643,1531.4,237
2023,grau,PÚBLICA,UB,Integrat,Estrangers,HOME,Barcelonès,189,719,659,96
2023,grau,PÚBLICA,UdG,Adscrit,Espayolas,DONA,Barcelonès,100,424,394.4,106
2023,grau,PÚBLICA,UdG,Adscrit,Espayolas,DONA,Gironès,122,427,381.2,60
2023,grau,PÚBLICA,UdG,Adscrit,Espayolas,DONA,Maresme,7,28,27.6,6
2023,grau,PÚBLICA,UdG,Adscrit,Espayolas,HOME,Barcelonès,70,258,235.5,38
2023,grau,PÚBLICA,UdG,Adscrit,Espayolas,HOME,Gironès,142,528,486.3,86
2023,grau,PÚBLICA,UdG,Adscrit,Espayolas,HOME,Maresme,6,29,28.3,*
2023,grau,PÚBLICA,UdG,Adscrit,Estrangers,DONA,Barcelonès,17,52,49.3,9
2023,grau,PÚBLICA,UdG,Adscrit,Estrangers,DONA,Gironès,88,393,396.3,81
2023,grau,PÚBLICA,UdG,Adscrit,Estrangers,DONA,Maresme,11,30,31.5,*
2023,grau,PÚBLICA,UdG,Adscrit,Estrangers,HOME,Barcelonès,6,25,20.5,*
2023,grau,PÚBLICA,UdG,Adscrit,Estrangers,HOME,Gironès,103,378,368.4,81
2023,grau,PÚBLICA,UdG,Adscrit,Estrangers,HOME,Maresme,*,13,14.3,*
2023,grau,PÚBLICA,UdG,Integrat,Espayolas,DONA,Gironès,1561,6067,5743.6,1083
2023,grau,PÚBLICA,UdG,Integrat,Espayolas,HOME,Gironès,1113,4333,3950.1,657
2023,grau,PÚBLICA,UdG,Integrat,Estrangers,DONA,Gironès,88,365,332.2,51
2023,grau,PÚBLICA,UdG,Integrat,Estrangers,HOME,Gironès,65,239,212.6,21
2023,grau,PÚBLICA,UdL,Adscrit,Espayolas,DONA,Barcelonès,0,10,8.3,7
2023,grau,PÚBLICA,UdL,Adscrit,Espayolas,DONA,Segrià,50,201,188.6,31
2023,grau,PÚBLICA,UdL,Adscrit,Espayolas,HOME,Barcelonès,0,10,8.1,5
2023,grau,PÚBLICA,UdL,Adscrit,Espayolas,HOME,Segrià,132,459,428.9,58
2023,grau,PÚBLICA,UdL,Adscrit,Estrangers,DONA,Barcelonès,0,7,6.6,*
2023,grau,PÚBLICA,UdL,Adscrit,Estrangers,DONA,Segrià,5,12,11.3,*
2023,grau,PÚBLICA,UdL,Adscrit,Estrangers,HOME,Barcelonès,0,*,2.3,*
2023,grau,PÚBLICA,UdL,Adscrit,Estrangers,HOME,Segrià,5,18,15.7,*
2023,grau,PÚBLICA,UdL,Integrat,Espayolas,DONA,Segrià,1240,4900,4830.2,843
2023,grau,PÚBLICA,UdL,Integrat,Espayolas,HOME,Segrià,906,3427,3248.1,489
2023,grau,PÚBLICA,UdL,Integrat,Estrangers,DONA,Segrià,92,372,366.2,54
2023,grau,PÚBLICA,UdL,Integrat,Estrangers,HOME,Segrià,63,213,202.3,19
2023,grau,PÚBLICA,UPC,Adscrit,Espayolas,DONA,Barcelonès,155,637,559.3,90
2023,grau,PÚBLICA,UPC,Adscrit,Espayolas,DONA,Vallès Occidental,63,180,166.9,36
2023,grau,PÚBLICA,UPC,Adscrit,Espayolas,HOME,Barcelonès,277,1083,932.5,154
2023,grau,PÚBLICA,UPC,Adscrit,Espayolas,HOME,Vallès Occidental,83,362,329.7,69
2023,grau,PÚBLICA,UPC,Adscrit,Estrangers,DONA,Barcelonès,36,126,115.3,14
2023,grau,PÚBLICA,UPC,Adscrit,Estrangers,DONA,Vallès Occidental,*,15,13.7,*
2023,grau,PÚBLICA,UPC,Adscrit,Estrangers,HOME,Barcelonès,51,187,173.5,18
2023,grau,PÚBLICA,UPC,Adscrit,Estrangers,HOME,Vallès Occidental,5,22,19.9,5
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,DONA,Bages,24,97,82.9,13
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,DONA,Baix Llobregat,71,283,256.2,37
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,DONA,Barcelonès,975,4036,3576.5,518
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,DONA,Garraf,98,376,300.7,67
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,DONA,Vallès Occidental,312,1243,1140.1,184
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,HOME,Bages,239,838,707.2,114
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,HOME,Baix Llobregat,184,862,759.7,129
2023,grau,PÚBLICA,UPC,Integrat,Espayolas,HOME,Barcelonès,2171,9327,8046.2,1387
